ArNr,Artikelbezeichnung,PreisD,Rabattpreis,PreisCH,VE,Lagerbestand_generell,Bestelldatum1,Bestellmenge1,Bestelldatum2,Bestellmenge2,Bestelldatum3,Bestellmenge3,Kategorie,Subkategorie,Lagerbestand_sofort,Exportkennzeichen,Farbe,Groesse,Kennzeichen,Lagerbestand_physisch,
373410,    Jardiniere Rock INSPIRIO� creme 24cm,   11.59,       0,   15.59,     4,        12,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                   JARDINIEREN,             12,1,          creme,           13.5,              379159,12,
373522,"  Leuchte Spiralo INSPIRIO� creme|sand S",      59,       0,      76,     1,         3,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              3, ,undefiniert,             37,                    ,3,
375112,         K�bel Massimo black chrome 21cm,    7.99,       0,   10.99,     2,        38,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             38,1,   black chrome,        D21xH23,              375108,38,
375113,       K�bel Principale selen rot 15.5cm,    3.99,       0,    5.59,     6,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              6,1,      selen rot,           11.5,              375113,6,
375115,       K�bel Principale selen rot 20.5cm,    8.99,       0,   12.59,     2,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             10,1,      selen rot,           15.5,              375113,10,
375116,          Vase Principale selen rot 30cm,   19.99,       0,   27.99,     1,        20,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             20,1,      selen rot,             30,              375113,20,
375117,          Vase Principale selen rot 40cm,   36.99,       0,   49.99,     1,        23,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             23,1,      selen rot,             40,              375113,23,
375123,               Vase Principale gr�n 30cm,   19.99,       0,   27.99,     1,        12,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             12,1,           gr�n,             30,              375113,12,
375124,               Vase Principale gr�n 40cm,   36.99,       0,   49.99,     1,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             10,1,           gr�n,             40,              375113,10,
375127,           K�bel Gotham matt platin 13cm,    2.59,       0,    3.99,     6,        48,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             48,1,    matt platin,           11.5,              375127,66,
375128,         K�bel Gotham matt platin 14.5cm,    3.99,       0,    5.99,     4,        74,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             74,1,    matt platin,           14.5,              375127,86,
375130,           K�bel Gotham matt platin 21cm,    9.99,       0,   13.99,     2,        14,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             14,1,    matt platin,             20,              375127,18,
375131,           K�bel Gotham matt platin 23cm,   14.99,       0,   19.99,     1,        20,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             20,1,    matt platin,           22.5,              375127,22,
375132,           K�bel Massimo selen gr�n 13cm,    1.99,       0,    2.79,     6,         3,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              3,1,     selen gr�n,        D13xH11,              375108,3,
375150,                 K�bel Bella grau 15.5cm,    5.99,       0,    8.39,     4,         4,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              4,1,           grau,      D15.5xH18,              375148,4,
375151,                   K�bel Bella grau 17cm,    7.99,       0,   11.19,     4,        27,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             27,1,           grau,        D17xH20,              375148,27,
375152,                   K�bel Bella ros� 11cm,    2.99,       0,    4.19,     9,        45,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             45,1,           ros�,        D11xH13,              375148,45,
375154,                 K�bel Bella ros� 15.5cm,    5.99,       0,    8.39,     4,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             16,1,           ros�,      D15.5xH18,              375148,16,
375155,                   K�bel Bella ros� 17cm,    7.99,       0,   11.19,     4,        28,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             28,1,           ros�,        D17xH20,              375148,28,
375157,               K�bel Bella bronze 13.5cm,    5.59,       0,    7.79,     6,        12,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             12,1,         bronze,      D13.5xH16,              375148,12,
377503,Leuchte Bellucci Inspirio champ.horiz S ,    64.9,       0,      84,     1,         9,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              9, ,undefiniert,undefiniert,                    ,9,
377504,Leuchte Bellucci Inspirio champ.horiz L ,     109,       0,     139,     1,         3,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              3, ,undefiniert,undefiniert,                    ,3,
377505,Leuchte Bellucci Inspirio champ.vert. L ,     109,       0,     139,     1,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              6, ,undefiniert,undefiniert,                    ,6,
378244,    Vase Loulou INSPIRIO� soft ros� 29cm,   17.99,       0,   24.99,     4,         2,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         VASEN,              2,1,      soft ros�,             29,              378243,2,
378245,    Vase Loulou INSPIRIO� soft ros� 40cm,   22.99,       0,   29.99,     4,         8,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         VASEN,              8,1,      soft ros�,             40,              378243,8,
378255,     Vase Zazie INSPIRIO� soft azur 17cm,    4.99,       0,    6.99,     4,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             15,1,      soft azur,             17,              378252,15,
378256,   Vase Zazie INSPIRIO� soft azur 22.5cm,    5.99,       0,    8.39,     4,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             10,1,      soft azur,           22.5,              378252,10,
378257,     Vase Zazie INSPIRIO� soft azur 31cm,    7.99,       0,   11.19,     4,        19,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             19,1,      soft azur,             31,              378252,19,
378260,    Vase Zazie INSPIRIO� soft white 31cm,    7.99,       0,   11.19,     4,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             10,1,     soft white,             31,              378252,10,
378266,     Vase Minou INSPIRIO� soft azur 48cm,   12.99,       0,   27.99,     4,        11,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             11, ,undefiniert,             48,                    ,11,
378274,           Vase Piaff vintage touch 31cm,   30.99,       0,   39.99,     1,        32,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             32, ,undefiniert,             31,                    ,32,
378275,           Vase Piaff vintage touch 51cm,   34.99,       0,   44.99,     1,        26,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             26, ,undefiniert,             51,                    ,26,
379104,         K�bel Poka INSPIRIO� creme 14cm,    3.99,       0,    5.59,     6,        96,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             96,1,          creme,             16,              379104,96,
379109,          K�bel Eno INSPIRIO� creme 21cm,    7.59,       0,    9.79,     4,         5,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,              5,1,          creme,           15.5,              379107,5,
379111,          K�bel Eno INSPIRIO� creme 30cm,   14.99,       0,   19.59,     2,        36,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             36,1,          creme,undefiniert,              379107,36,
379156,           K�bel Eno INSPIRIO� wei� 15cm,    2.99,       0,    3.99,     6,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             24,1,           wei�,        D15xH10,              379156,24,
379157,           K�bel Eno INSPIRIO� wei� 18cm,    5.59,       0,    7.29,     6,        78,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             78,1,           wei�,        D18xH13,              379156,78,
379158,           K�bel Eno INSPIRIO� wei� 21cm,    7.59,       0,    9.79,     4,        36,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             36,1,           wei�,      D21xH15.5,              379156,36,
379159,           K�bel Rock INSPIRIO creme 9cm,    2.99,       0,    4.19,     8,       264,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,            264,1,          creme,undefiniert,              379159,296,
379167,          K�bel Rock INSPIRIO� wei� 12cm,    3.59,       0,    4.59,     6,        78,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             78,1,           wei�,           13.5,              379159,90,
379168,          K�bel Rock INSPIRIO� wei� 14cm,    4.99,       0,    6.59,     6,        78,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             78,1,           wei�,           15.5,              379159,90,
379169,          K�bel Rock INSPIRIO� wei� 16cm,    5.99,       0,    7.79,     6,       108,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,            108,1,           wei�,             17,              379159,120,
379170,          K�bel Rock INSPIRIO� wei� 18cm,    8.99,       0,   11.79,     4,        60,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             60,1,           wei�,             20,              379159,68,
379171,        K�bel Heather INSPIRIO� wei� 8cm,    2.29,       0,    2.99,    12,         8,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,              8,1,           wei�,           10.5,              379171,8,
379174,       K�bel Heather INSPIRIO� wei� 16cm,    6.99,       0,    9.79,     4,        20,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             20,1,           wei�,             20,              379171,40,
379175,       K�bel Heather INSPIRIO� wei� 19cm,    8.99,       0,   11.79,     2,        30,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             30,1,           wei�,             25,              379171,44,
379183,    Plattenhase Felpa INSPIRIO wei� 30cm,    9.99,       0,   12.99,     6,         6,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                  DEKO-OBJEKTE,              6,1,           wei�,              5,              379182,6,
379184,    Plattenhase Felpa INSPIRIO wei� 37cm,   14.99,       0,   19.99,     4,        16,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                  DEKO-OBJEKTE,             16,1,           wei�,            6.5,              379182,16,
379195,        Schale Canna INSPIRIO� wei� 30cm,    6.59,       0,    8.59,     4,        24,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                       SCHALEN,             24,1,           wei�,              8,              363390,24,
379196,        Schale Canna INSPIRIO� wei� 40cm,   11.99,       0,   15.59,     4,        16,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                       SCHALEN,             16,1,           wei�,              8,              363390,16,
379221,            Vase Eno INSPIRIO� wei� 30cm,   11.99,       0,   15.99,     2,         3,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              3,1,           wei�,        D20xH30,              379156,5,
379230,        K�bel Baldur INSPIRIO� wei� 13cm,    2.99,       0,    4.19,     6,       114,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,            114,1,           wei�,           11.5,              379230,114,
379232,        K�bel Baldur INSPIRIO� wei� 18cm,    4.99,       0,   11.19,     4,        34,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             34,1,           wei�,           16.5,              379230,34,
379233,         Vase Baldur INSPIRIO� wei� 25cm,    5.99,       0,   11.99,     4,        36,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         VASEN,             36,1,           wei�,             25,              379230,36,
379244,      K�bel Oleandra INSPIRIO� wei� 13cm,    4.29,       0,    5.99,     6,       132,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,            132,1,           wei�,             17,              379244,132,
379245,      K�bel Oleandra INSPIRIO� wei� 15cm,    7.59,       0,   10.59,     6,       120,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,            120,1,           wei�,             19,              379244,120,
379246,      K�bel Oleandra INSPIRIO� wei� 18cm,   11.99,       0,   16.79,     4,        57,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             57,1,           wei�,             22,              379244,57,
379502,        Windlicht Hilto eckig beige 32cm,   10.99,       0,   14.99,     6,       125,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            125, ,undefiniert,             32,                    ,125,
379503,         Windlicht Hilto eckig lila 19cm,    5.29,       0,    6.99,    12,        80,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             80, ,undefiniert,             19,                    ,80,
379504,         Windlicht Hilto eckig lila 26cm,    6.99,       0,    8.99,     6,        99,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             99, ,undefiniert,             26,                    ,99,
379505,         Windlicht Hilto eckig lila 32cm,   10.99,       0,   14.99,     6,       125,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            125, ,undefiniert,             32,                    ,125,
379518,          Windlicht Hilto rund lila 18cm,    4.99,       0,       0,    12,        44,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             44, ,undefiniert,              3,                    ,44,
379519,          Windlicht Hilto rund lila 23cm,    6.99,       0,    8.99,     6,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             10, ,undefiniert,             23,                    ,10,
379520,          Windlicht Hilto rund lila 30cm,   12.99,       0,   16.99,     4,       104,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            104, ,undefiniert,             30,                    ,104,
379529,          Windlicht Hilto rund wei� 30cm,   12.99,       0,   16.99,     4,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             16, ,undefiniert,             30,                    ,16,
379532,          Windlicht Hilto Slim lila 25cm,    5.99,       0,    7.99,    12,       197,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            197, ,undefiniert,              8,                    ,197,
379547, Kerzenzyl. Settimo INSPIRIO� creme 27cm,    5.99,       0,    7.79,     4,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             24, ,undefiniert,             27,                    ,24,
379551,   Dekoobjekt Mondo INSPIRIO� creme 33cm,   11.99,       0,   15.59,     4,        66,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             66, ,undefiniert,             33,                    ,66,
379609,       K�bel Spiralo Inspirio� wei� 15cm,    4.99,       0,    6.99,     6,        48,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             48,1,           wei�,         D15x10,              379607,54,
379610,       K�bel Spiralo Inspirio� wei� 19cm,    7.99,       0,   11.19,     4,        34,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             34,1,           wei�,         D19x12,              379607,38,
379611,       K�bel Spiralo Inspirio� wei� 24cm,   11.99,       0,   15.59,     2,         6,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,              6,1,           wei�,undefiniert,              379607,8,
380510,  Liebespaar S�ren INSPIRIO� creme 2tlg.,    6.99,       0,    9.99,     4,        10,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                  DEKO-OBJEKTE,             10,1,          creme,undefiniert,              380510,10,
380511,   Liebespaar Lobo INSPIRIO� creme 2tlg.,    4.99,       0,    6.99,     4,        44,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                  DEKO-OBJEKTE,             44,1,          creme,undefiniert,              380510,44,
380624,              K�bel Macky aqua matt 11cm,    2.59,       0,    3.59,    12,       132,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            132,1,      aqua matt,             11,              380624,132,
380625,              K�bel Macky aqua matt 15cm,    3.59,       0,    4.99,    12,        48,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             48,1,      aqua matt,             15,              380624,48,
380626,              K�bel Macky aqua matt 17cm,    4.99,       0,    6.99,     8,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             24,1,      aqua matt,             17,              380624,24,
380627,              K�bel Macky gelb matt 11cm,    2.59,       0,    3.59,    12,        92,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             92,1,      gelb matt,             11,              380624,92,
380628,              K�bel Macky gelb matt 15cm,    3.59,       0,    4.99,    12,        57,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             57,1,      gelb matt,             15,              380624,57,
380629,              K�bel Macky gelb matt 17cm,    4.99,       0,    6.99,     8,        28,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             28,1,      gelb matt,             17,              380624,28,
380630,             K�bel Macky lachs matt 11cm,    2.59,       0,    3.59,    12,        57,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             57,1,     lachs matt,             11,              380624,57,
380631,             K�bel Macky lachs matt 15cm,    3.59,       0,    4.99,    12,       108,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            108,1,     lachs matt,             15,              380624,108,
380632,             K�bel Macky lachs matt 17cm,    4.99,       0,    6.99,     8,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             24,1,     lachs matt,             17,              380624,24,
380633,              K�bel Macky choc matt 11cm,    2.59,       0,    3.59,    12,        60,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             60,1,      choc matt,             11,              380624,60,
380634,              K�bel Macky choc matt 15cm,    3.59,       0,    4.99,    12,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             24,1,      choc matt,             15,              380624,24,
380635,              K�bel Macky choc matt 17cm,    4.99,       0,    6.99,     8,       184,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            184,1,      choc matt,             17,              380624,184,
380644,                  K�bel Limbo lachs 10cm,    0.49,       0,    2.59,    12,        81,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             81, ,undefiniert,              9,                    ,81,
380645,                  K�bel Limbo lachs 12cm,    0.89,       0,    3.89,    12,         9,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              9, ,undefiniert,             11,                    ,9,
381500,            Teelicht Stone graphit klein,    1.99,       0,    3.89,     6,        17,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             17, ,undefiniert,undefiniert,                    ,17,
381501,             Teelicht Stone graphit gro�,    3.99,       0,    6.49,     6,        40,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             40, ,undefiniert,undefiniert,                    ,40,
381502,           Teelicht Stone schiefer klein,    1.99,       0,    3.89,     6,        11,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             11, ,undefiniert,undefiniert,                    ,11,
381503,            Teelicht Stone Schiefer gro�,    3.99,       0,    6.49,     6,        36,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             36, ,undefiniert,undefiniert,                    ,36,
383169,  K�belsatz Ramos INSPIRIO� wei� 4er-Set,   74.99,       0,  104.99,     1,        20,12.04.2021,20   ,          ,     ,          ,     ,                      INSPIRIO,UNKATEGORISIERT,              0,1,           wei�,undefiniert,              383224,1,
383224,    K�bel New Ramos INSPIRIO� creme 13cm,    2.59,       0,    3.59,    12,        72,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             72,1,          creme,        D13xH13,              383224,108,
383225,    K�bel New Ramos INSPIRIO� creme 16cm,    3.99,       0,    5.59,     6,        84,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             84,1,          creme,      D16xH14.5,              383224,114,
383226,    K�bel New Ramos INSPIRIO� creme 18cm,    5.99,       0,    8.39,     4,        50,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             50,1,          creme,        D18xH16,              383224,70,
383263,     K�bel New Ramos INSPIRIO� wei� 13cm,    2.59,       0,    3.39,    12,        32,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             32,1,           wei�,        D13xH13,              383224,80,
383264,     K�bel New Ramos INSPIRIO� wei� 16cm,    3.99,       0,    5.29,     6,        40,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             40,1,           wei�,      D16xH14.5,              383224,58,
383265,     K�bel New Ramos INSPIRIO� wei� 18cm,    5.99,       0,    7.79,     4,        62,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         K�BEL,             62,1,           wei�,        D18xH16,              383224,74,
383333,      K�bel New Ramos black stripes 13cm,    3.99,       0,    5.59,    12,        72,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             72,1, black stripes ,        D13xH13,              383333,216,
383334,      K�bel New Ramos black stripes 16cm,    6.29,       0,    8.89,     6,        30,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             30,1, black stripes ,        D16xH14,              383333,114,
383335,      K�bel New Ramos black stripes 18cm,    8.59,       0,   11.99,     4,        28,12.04.2021,60   ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,            -32,1, black stripes ,        D18xH16,              383333,20,
383339, Flaschenvase New Ramos bl. stripes 26cm,   11.79,       0,   16.59,     2,        46,12.04.2021,40   ,          ,     ,          ,     ,UNKATEGORISIERT,                         VASEN,              6,1, black stripes ,            H26,              383333,26,
383340, Flaschenvase New Ramos bl. stripes 36cm,   19.99,       0,   27.99,     2,        28,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         VASEN,             28,1, black stripes ,            H36,              383333,38,
383400,      Jardiniere Onda INSPIRIO�wei� 37cm,   16.99,       0,   23.79,     2,         8,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                   JARDINIEREN,              8,1,           wei�,        D37xH13,              383400,10,
383403,Hoch-Jardiniere Onda INSPIRIO� wei� 40cm,   44.99,       0,   62.99,     1,        23,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                   JARDINIEREN,             23,1,           wei�,        D40xH40,              383400,23,
383408,     K�bel New Ramos rosy aquarell 13cm ,    2.99,       0,    5.59,    12,       180,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,            180,1,  rosy aquarell,        D13xH13,              383408,180,
383409,     K�bel New Ramos rosy aquarell 16cm ,    4.99,       0,    8.89,     6,        96,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             96,1,  rosy aquarell,      D16XH14.5,              383408,96,
383410,     K�bel New ramos rosy aquarell 19cm ,    6.99,       0,   11.99,     4,       104,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,            104,1,  rosy aquarell,      D19xH16.5,              383408,104,
383413,   K�bel New Ramos greeny aquarell 13cm ,    2.99,       0,    5.59,    12,        72,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             72,1,greeny aquarell,        D13xH13,              383408,72,
383414,   K�bel New Ramos greeny aquarell 16cm ,    4.99,       0,    8.89,     6,        24,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             24,1,greeny aquarell,      D16XH14.5,              383408,24,
383415,   K�bel New ramos greeny aquarell 19cm ,    6.99,       0,   11.99,     4,        80,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             80,1,greeny aquarell,      D19xH16.5,              383408,80,
383418,       Vase Castello INSPIRIO� wei� 24cm,   27.99,       0,   39.19,     2,        14,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         VASEN,             14,1,           wei�,        H24xD24,              383418,16,
383419,       Vase Castello INSPIRIO� wei� 31cm,   39.99,       0,   55.99,     1,        22,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         VASEN,             22,1,           wei�,        H31xD31,              383418,23,
383420, Jardiniere Castello INSPIRIO� wei� 42cm,   32.99,       0,   46.19,     1,        14,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                   JARDINIEREN,             14,1,           wei�,        D42xH13,              383418,15,
383422,    K�bel New Ramos taupy aquarell 13cm ,    2.99,       0,    5.59,    12,       180,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,            180,1, taupy aquarell,        D13xH13,              383408,180,
383423,    K�bel New Ramos taupy aquarell 16cm ,    4.99,       0,    8.89,     6,       138,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,            138,1, taupy aquarell,      D16XH14.5,              383408,138,
383424,    K�bel New Ramos taupy aquarell 19cm ,    6.99,       0,   11.99,     4,       104,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,            104,1, taupy aquarell,      D19xH16.5,              383408,104,
385126,                 Vase Bamboo bambus 40cm,    8.99,       0,   12.59,     1,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,              6,1,         bambus,             40,              385122,8,
385150,            K�bel Le�n XL hell-grau 40cm,   17.99,       0,   25.19,     1,        28,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             28,1,      hell-grau,             38,              385149,28,
385151,            K�bel Le�n XL hell-grau 50cm,      29,       0,      39,     1,         2,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              2,1,      hell-grau,             48,              385149,2,
385158,           Vase Bamboo green bambus 30cm,    4.99,       0,    6.99,     1,        29,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             29,1,   green bambus,             30,              385122,29,
385160,           Vase Bamboo green bambus 80cm,   18.99,       0,   26.99,     1,        34,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             34,1,   green bambus,             80,              385122,34,
385177,        Dekovase Fantomas matt wei� 30cm,    4.99,       0,    6.99,     4,        56,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             56,1,      matt wei�,             30,              385177,56,
385178,        Dekovase Fantomas matt grau 30cm,    4.99,       0,    6.99,     4,        56,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             56,1,      matt grau,             30,              385177,56,
385179,        Dekovase Fantomas matt �cru 30cm,    4.99,       0,    6.99,     4,        56,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             56,1,      matt �cru,             30,              385177,56,
385180,        Dekovase Fantomas matt blau 30cm,    4.99,       0,    6.99,     4,        52,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             52,1,      matt �cru,             30,              385177,52,
385252,                  K�bel Mexano grau 22cm,    5.99,       0,    8.39,     2,         4,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              4,1,           grau,             20,              385248,4,
385275,           K�bel Shaipur champagner 25cm,    6.99,       0,    9.79,     2,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              8,1,     champagner,             26,              385274,8,
385276,           K�bel Shaipur champagner 30cm,    9.99,       0,   13.99,     1,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              8,1,     champagner,             30,              385274,8,
385281,            Vase Shaipur champagner 90cm,      69,       0,      99,     1,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             15,1,     champagner,             90,              385274,15,
385284,                K�bel Blakk schwarz 12cm,    1.99,       0,    2.79,    12,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              8,1,        schwarz,             10,              385284,8,
385291,                K�bel Blakk schwarz 35cm,   18.99,       0,   26.59,     1,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              8,1,        schwarz,             32,              385284,20,
385292,                 Vase Blakk schwarz 40cm,   17.99,       0,   25.19,     2,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             16,1,        schwarz,             40,              385284,16,
385293,                 Vase Blakk schwarz 60cm,   32.99,       0,   45.99,     1,        14,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             14,1,        schwarz,             60,              385284,14,
